"","x"
"Cnn3",-0.0016748280037693
"Stxbp1",-0.00220281124152705
"Acly",-0.00229898891939656
"Fdft1",-0.00237154923781146
"Jpt1",-0.00267900303104118
"Scd2",-0.00317107499425479
"Cd1d1",-0.00372284087073251
"Dpysl2",-0.00481366216337601
"Mmd2",-0.0057600209089999
"Srsf7",-0.00704225191921391
"Ewsr1",-0.00767792373739172
"Dus1l",-0.00833880466199992
"Morf4l2",-0.00881251879389359
"Wdr47",-0.00901942928004579
"Mfap2",-0.00913762422984625
"Arhgef2",-0.00989965138059454
"Ywhaz",-0.00997577821321926
"Hsp90aa1",-0.0102850791134605
"Slc16a1",-0.010871703560222
"Crcp",-0.0109925827212663
"ENSMUSG00000114956",-0.0112820730709475
"Ppme1",-0.0114603523962949
"Lrrc8a",-0.0127096056939711
"Polr3e",-0.0134946608132616
"Sesn1",-0.014327174425586
"Slc25a11",-0.0168962445632511
"Ywhae",-0.0169607537458123
"Trim35",-0.0187195387843636
"Tubb5",-0.0209650942452242
"ENSMUSG00000102349",-0.0215746028730668
"Asns",-0.0219554560857536
"Slc25a4",-0.0225526719759731
"Hnrnph1",-0.0228369355922378
"Anapc5",-0.0235757296099691
"Serinc1",-0.0237804424975229
"Rtn3",-0.0262292535682148
"Tcf25",-0.0267344098802265
"Fam177a",-0.028573773046806
"Gnb1",-0.030071470299101
"Cdk4",-0.0325049573959301
"Idh1",-0.0346521561712873
"Malat1",-0.0361992612122453
"Ap2m1",-0.0365135814051831
"ENSMUSG00000105361",-0.0371724367674004
"Cd151",-0.0374008510408634
"Rsrp1",-0.0381857427277287
"Eif4a1",-0.0391119620860494
"Calm2",-0.0392853855013733
"COX3",-0.0403498318495981
"Vcp",-0.0416964131095664
"Mdh2",-0.0439984232981984
"Id2",-0.0445888020071821
"H3f3b",-0.0446577350811163
"Flna",-0.0447271628956221
"Actg1",-0.0450665968501892
"Cfl1",-0.0478318637016776
"ATP6",-0.0515013242646248
"Calm1",-0.0578626451026364
"ENSMUSG00000106106",-0.0580516622386125
"Hspa8",-0.060767287216691
"Ubb",-0.0629030452348908
"Ddx5",-0.0639132264167909
"Psmd1",-0.0641095244305641
"Hsp90b1",-0.0685788238736439
"Actb",-0.071864452335571
"Tmsb4x",-0.0752081003119932
"Hspa5",-0.0994088168445905
"Mfge8",-0.111474807643873
"Mmp12",-0.11698046278803
"Pld3",-0.123822356460724
"Hmox1",-0.128789036190709
"Bcl2a1b",-0.130062012372601
"Ms4a7",-0.132487253935474
"Rnf128",-0.134358801045086
"Selenop",-0.140461361715061
"Plin2",-0.140580591165095
"C1qb",-0.141496455416828
"Apoe",-0.141918991863049
"Arpc1b",-0.143390899837599
"Cybb",-0.144621065259396
"Ftl1",-0.144950163122448
"Psap",-0.145120785874097
"Grn",-0.145815121375378
"Clec4d",-0.145826018500464
"H2-D1",-0.146487768960864
"Capg",-0.146825263404602
"Spp1",-0.146830557059238
"Ctsl",-0.147738945688861
"Prdx1",-0.14870306652841
"Laptm5",-0.149137885861158
"Fcgr3",-0.149646244139119
"Lyz2",-0.150061884607851
"Hexb",-0.150065872612742
"Fth1",-0.151071473547277
"Ctsd",-0.15139915433881
"Lgals3",-0.151482071467344
"Pla2g7",-0.1515420327049
"Ctsb",-0.152725898658567
"Gpnmb",-0.152918451112638
"Lipa",-0.152950664137614
"Anxa5",-0.153165578782467
"B2m",-0.154755813601136
"Ctsz",-0.155159993564548
"Fcer1g",-0.155920262996296
"Cd68",-0.156610593552004
"Lgmn",-0.15687658612994
"Creg1",-0.157489857189687
"Ctss",-0.158937123715444
"Tyrobp",-0.159085954595487
